DueDate,Customer,Plant,Item,QTY,Sales,SONUM,CustName,CPO,Salesman,CustNum,BIN,Plant2,Load #,Address1,Address2,City,State,ZIP
12/31/2025,OMAHA TRAILERS,IA-CARGO,7X14CGRCM,1,4655,12438032,OMAHA TRAILERS,9-13-24 7X14,Cory Stoppenbach,BENNINGMIS,CARGO-IA,IA,#N/A,233 S. 2ND STREET,(402)547-0446,MISSOURI VALLEY,IA,51555
12/31/2025,OMAHA TRAILERS,IA-DUMP,7X12DLPE12K,1,6790,12513826,OMAHA TRAILERS,4/10/2025,Cory Stoppenbach,BENNINGMIS,DUMP,IA,#N/A,233 S. 2ND STREET,(402)547-0446,MISSOURI VALLEY,IA,51555
1/13/2026,TRACTOR SUPPLY,GA-CARGO,6X12CGRVCM3K-TSC,1,4234,12534033,TRACTOR SUPPLY COMPANY,1040721660,Jason Miller,TSC03038,CARGO-GA,GA,GA25-4617,5200 S ORANGE BLOSSOM TRL,,KISSIMMEE,FL,34758
1/13/2026,TRACTOR SUPPLY,GA-TRL-NGN,5X8GWE2K,3,2640,12534033,TRACTOR SUPPLY COMPANY,1040721660,Jason Miller,TSC03038,USA-NG,GA,GA25-4617,5200 S ORANGE BLOSSOM TRL,,KISSIMMEE,FL,34758
1/13/2026,TRACTOR SUPPLY,GA-TRLR,5X8SPM2K,3,2865,12534033,TRACTOR SUPPLY COMPANY,1040721660,Jason Miller,TSC03038,USA-NG,GA,GA25-4617,5200 S ORANGE BLOSSOM TRL,,KISSIMMEE,FL,34758
1/13/2026,TRACTOR SUPPLY,GA-TRLR,6X11SF3K,1,2095,12534033,TRACTOR SUPPLY COMPANY,1040721660,Jason Miller,TSC03038,USA,GA,GA25-4617,5200 S ORANGE BLOSSOM TRL,,KISSIMMEE,FL,34758
1/13/2026,TRACTOR SUPPLY,GA-TRLR,6X14GW2BRK-TSC,1,3029,12534033,TRACTOR SUPPLY COMPANY,1040721660,Jason Miller,TSC03038,UTA,GA,GA25-4617,5200 S ORANGE BLOSSOM TRL,,KISSIMMEE,FL,34758
1/13/2026,TRACTOR SUPPLY,GA-TRLR,7X12GWHS16,1,2164,12534033,TRACTOR SUPPLY COMPANY,1040721660,Jason Miller,TSC03038,USA,GA,GA25-4617,5200 S ORANGE BLOSSOM TRL,,KISSIMMEE,FL,34758
1/3/2026,TRACTOR SUPPLY,VA-TRLR,6X10GW-TSC,1,3700,12535834,TRACTOR SUPPLY COMPANY,BG2919,Jason Miller,TSC02919,USA,VA,VA26-1074,64 ROUTE 109 WEST BABYLON,,BABYLON,NY,117046208
1/13/2026,TRACTOR SUPPLY,GA-TRLR,6X10GW-TSC,1,3700,12535840,TRACTOR SUPPLY COMPANY,BG3038,Jason Miller,TSC03038,USA,GA,GA25-4617,5200 S ORANGE BLOSSOM TRL,,KISSIMMEE,FL,34758
2/13/2026,MIDSTATES,IA-ALTRLR,6X10AGW,1,2410.2,12535881,RUNNINGS,4397716-1,Jeff Good,RUNNINGMAR,USA-AL,IA,IA25-1911,1101 EAST MAIN STREET,(507)532-2286,MARSHALL,MN,56258
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,2,3314.54,12535881,RUNNINGS,4397716-1,Jeff Good,RUNNINGMAR,USA,IA,IA25-1911,1101 EAST MAIN STREET,(507)532-2286,MARSHALL,MN,56258
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,1,1089.74,12535881,RUNNINGS,4397716-1,Jeff Good,RUNNINGMAR,USA,IA,IA25-1911,1101 EAST MAIN STREET,(507)532-2286,MARSHALL,MN,56258
2/13/2026,MIDSTATES,IA-TRLR,6X10GWHSL3K,3,5697.96,12535881,RUNNINGS,4397716-1,Jeff Good,RUNNINGMAR,USA,IA,IA25-1911,1101 EAST MAIN STREET,(507)532-2286,MARSHALL,MN,56258
2/13/2026,MIDSTATES,IA-TRLR,6X12GWPTLED,1,1873.57,12535881,RUNNINGS,4397716-1,Jeff Good,RUNNINGMAR,USA,IA,IA25-1911,1101 EAST MAIN STREET,(507)532-2286,MARSHALL,MN,56258
2/13/2026,MIDSTATES,IA-TRLR,5X10GW2K,2,2253.64,12535882,RUNNINGS,4397716-5,Jeff Good,RUNNINGHUT,USA,IA,IA25-1909,1090 HWY 15 SOUTH,(320)299-4192,HUTCHINSON,MN,55350
2/13/2026,MIDSTATES,IA-TRLR,5X8GW2K,1,908.98,12535882,RUNNINGS,4397716-5,Jeff Good,RUNNINGHUT,USA-NG,IA,IA25-1909,1090 HWY 15 SOUTH,(320)299-4192,HUTCHINSON,MN,55350
2/13/2026,MIDSTATES,IA-TRLR,5X8SPWOODY,2,2179.48,12535882,RUNNINGS,4397716-5,Jeff Good,RUNNINGHUT,USA,IA,IA25-1909,1090 HWY 15 SOUTH,(320)299-4192,HUTCHINSON,MN,55350
2/13/2026,MIDSTATES,IA-TRLR,5.5X10GWPTLED,3,4971.81,12535883,RUNNINGS,4397716-2,Jeff Good,RUNNINGS,USA,IA,IA25-1910,115 FIRST STREET EAST,507-223-5446,CANBY,MN,56220
