item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at,matched_weight_lbs,weight_match_found
10CH-16,CAR HAULER,4,10CH,9990,Wood,16,7.0,3,1.5,23,2026-05-12T14:11:41Z,1970,Y
10CH-16BKDT,CAR HAULER,4,10CH,9990,Wood,16,7.0,3,1.5,20,2026-05-12T14:11:41Z,,N
10CH-18,CAR HAULER,3,10CH,9990,Wood,18,7.0,3,1.5,22,2026-05-12T14:11:41Z,2125,Y
10CH-18BK,CAR HAULER,3,10CH,9990,Wood,18,7.0,3,1.5,22,2026-05-12T14:11:41Z,,N
10CH-18BKDT,CAR HAULER,2,10CH,9990,Wood,18,7.0,3,1.5,22,2026-05-12T14:11:41Z,2320,Y
10CH-20,CAR HAULER,3,10CH,9990,Wood,20,7.0,3,1.5,24,2026-05-12T14:11:41Z,2280,Y
10CH-20BK,CAR HAULER,3,10CH,9990,Wood,20,7.0,3,1.5,24,2026-05-12T14:11:41Z,2280,Y
10CH-20BKDT,CAR HAULER,2,10CH,9990,Wood,20,7.0,3,1.5,24,2026-05-12T14:11:41Z,2320,Y
10DM-18,CAR HAULER,3,10DM,9990,Steel,18,7.0,4,1.5,22,2026-05-12T14:11:41Z,2480,Y
10DM-18BK,CAR HAULER,3,10DM,9990,Steel,18,7.0,4,1.5,22,2026-05-12T14:11:41Z,2480,Y
10DM-20,CAR HAULER,3,10DM,9990,Steel,20,7.0,4,1.5,24,2026-05-12T14:11:41Z,2630,Y
10DM-20BK,CAR HAULER,2,10DM,9990,Steel,20,7.0,4,1.5,24,2026-05-12T14:11:41Z,2630,Y
10DM-22,CAR HAULER,4,10DM,9990,Steel,22,7.0,4,1.5,26,2026-05-12T14:11:41Z,2790,Y
10DM-22BK,CAR HAULER,4,10DM,9990,Steel,22,7.0,4,1.5,26,2026-05-12T14:11:41Z,2790,Y
60EC-14,CAR HAULER,4,60EC,6000,Wood,14,7.0,3,1.5,17,2026-05-12T14:11:41Z,1620,Y
