item_number,mcat,model,old_model,bed_length,tongue,stack_height,total_footprint,stack_height_is_placeholder,updated_at
BUA614CCBE3,Tandem-Axle Utility,UTE7,UTE-614,14.0,4.0,2.0,18.0,1,2026-05-07T14:19:43Z
BUA616CCBE3,Tandem-Axle Utility,UTE7,UTE-616,16.0,4.0,2.0,20.0,1,2026-05-07T14:19:43Z
BUT714CBFF3,Tandem-Axle Utility,UT7,UT-714,14.0,5.0,2.0,19.0,1,2026-05-07T14:19:43Z
BUT714CBFF3E,Tandem-Axle Utility,UT7,UT-714-12EXP,14.0,5.0,2.0,19.0,1,2026-05-07T14:19:43Z
BUT714NBHF3,Tandem-Axle Utility,UT7,UT-714,14.0,5.0,2.0,19.0,1,2026-05-07T14:19:43Z
BUT716DBFF3,Tandem-Axle Utility,UT7,UT-716,16.0,5.0,2.0,21.0,1,2026-05-07T14:19:43Z
BUT716DBFH3,Tandem-Axle Utility,UT7,UT-716-SR,16.0,5.0,2.0,21.0,1,2026-05-07T14:19:43Z
BUT718DBFF3,Tandem-Axle Utility,UT7,UT-718,18.0,5.0,2.0,23.0,1,2026-05-07T14:19:43Z
BUT718DBFH3,Tandem-Axle Utility,UT7,UT-718-SR,18.0,5.0,2.0,23.0,1,2026-05-07T14:19:43Z
BUT720DBFF3,Tandem-Axle Utility,UT7,UT-720,20.0,5.0,2.0,25.0,1,2026-05-07T14:19:43Z
BUT720DBFF3#1,Tandem-Axle Utility,UT7,UT-720,20.0,5.0,2.0,25.0,1,2026-05-07T14:19:43Z
BUT720DBFH3,Tandem-Axle Utility,UT7,UT-720-SR,20.0,5.0,2.0,25.0,1,2026-05-07T14:19:43Z
BDF610CBMA3,Dumps,DT7,DT610LP-LE-7-A,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610CBMD3,Dumps,DT7,DT610LP-LE-7-D,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610CBMV3N,Dumps,DT7,DT610LP-LE-7-H,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610CEHAA,Dumps,DT10,DT610LP-LE-10-A,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610CEHAAK,Dumps,DT10,DT610LP-LE-10-A,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610CEHBA,Dumps,DT10,DT610LP-LE-10-B,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610CEHCA,Dumps,DT10,DT610LP-LE-10-A,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610CEHDA,Dumps,DT10,DT610LP-LE-10-D,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610CEHVAN,Dumps,DT10,DT610LP-LE-10-H,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610DBMA3,Dumps,DT7,DT610LP-LE-7-D,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610DBMC3,Dumps,DT7,DT610LP-LE-7-D,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610DEHAA,Dumps,DT10,DT610LP-LE-10-A,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610DEHAAK,Dumps,DT10,DT610LP-LE-10-A,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610DEHCA,Dumps,DT10,DT610LP-LE-10-A,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610DEHVAN,Dumps,DT10,DT610LP-LE-10-H,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610DEHZAN,Dumps,DT10,DT610LP-LE-10-H,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610NEKAAK,Dumps,DT10,DT610LP-LE-10-S,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF610NEKCAK,Dumps,DT10,DT610LP-LE-10-S,10.0,4.0,2.0,14.0,1,2026-05-07T14:19:43Z
BDF612CEHA6K8,Dumps,DT10,DT612LP-LE-10-A,12.0,4.0,2.0,16.0,1,2026-05-07T14:19:43Z
BDF612CEHAA,Dumps,DT10,DT612LP-LE-10-A,12.0,4.0,2.0,16.0,1,2026-05-07T14:19:43Z
BDF612CEHAAK,Dumps,DT10,DT612LP-LE-10-A,12.0,4.0,2.0,16.0,1,2026-05-07T14:19:43Z
BDF612CEHBA,Dumps,DT10,DT612LP-LE-10-B,12.0,4.0,2.0,16.0,1,2026-05-07T14:19:43Z
BDF612CEHCA,Dumps,DT10,DT612LP-LE-10-C,12.0,4.0,2.0,16.0,1,2026-05-07T14:19:43Z
BDF612CEHDA,Dumps,DT10,DT612LP-LE-10-D,12.0,4.0,2.0,16.0,1,2026-05-07T14:19:43Z
BDF612CEHVAN,Dumps,DT10,DT612LP-LE-10-H,12.0,4.0,2.0,16.0,1,2026-05-07T14:19:43Z
BDF612CEHZAN,Dumps,DT10,DT612LP-LE-10-H,12.0,4.0,2.0,16.0,1,2026-05-07T14:19:43Z
