item_number,mcat,model,old_model,stack_height_in,stack_height_in_resolved,stack_height,stack_height_is_placeholder,fallback_source
BUA614CCBE3,Tandem-Axle Utility,UTE7,UTE-614,22.0,22.0,1.8,0,
BUA616CCBE3,Tandem-Axle Utility,UTE7,UTE-616,23.0,23.0,1.9,0,
BUT714CBFF3,Tandem-Axle Utility,UT7,UT-714,27.0,27.0,2.2,0,
BUT714CBFF3E,Tandem-Axle Utility,UT7,UT-714-12EXP,27.0,27.0,2.2,0,
BUT714NBHF3,Tandem-Axle Utility,UT7,UT-714,27.0,27.0,2.2,0,
BUT716DBFF3,Tandem-Axle Utility,UT7,UT-716,27.0,27.0,2.2,0,
BUT716DBFH3,Tandem-Axle Utility,UT7,UT-716-SR,27.0,27.0,2.2,0,
BUT718DBFF3,Tandem-Axle Utility,UT7,UT-718,27.0,27.0,2.2,0,
BUT718DBFH3,Tandem-Axle Utility,UT7,UT-718-SR,27.0,27.0,2.2,0,
BUT720DBFF3,Tandem-Axle Utility,UT7,UT-720,27.0,27.0,2.2,0,
BUT720DBFF3#1,Tandem-Axle Utility,UT7,UT-720,27.0,27.0,2.2,0,
BUT720DBFH3,Tandem-Axle Utility,UT7,UT-720-SR,27.0,27.0,2.2,0,
BDF610CBMA3,Dumps,DT7,DT610LP-LE-7-A,39.0,39.0,3.2,0,
BDF610CBMD3,Dumps,DT7,DT610LP-LE-7-D,39.0,39.0,3.2,0,
BDF610CBMV3N,Dumps,DT7,DT610LP-LE-7-H,62.0,62.0,5.2,0,
BDF610CEHAA,Dumps,DT10,DT610LP-LE-10-A,39.0,39.0,3.2,0,
BDF610CEHAAK,Dumps,DT10,DT610LP-LE-10-A,39.0,39.0,3.2,0,
BDF610CEHBA,Dumps,DT10,DT610LP-LE-10-B,39.0,39.0,3.2,0,
BDF610CEHCA,Dumps,DT10,DT610LP-LE-10-A,39.0,39.0,3.2,0,
BDF610CEHDA,Dumps,DT10,DT610LP-LE-10-D,39.0,39.0,3.2,0,
BDF610CEHVAN,Dumps,DT10,DT610LP-LE-10-H,62.0,62.0,5.2,0,
BDF610DBMA3,Dumps,DT7,DT610LP-LE-7-D,39.0,39.0,3.2,0,
BDF610DBMC3,Dumps,DT7,DT610LP-LE-7-D,39.0,39.0,3.2,0,
BDF610DEHAA,Dumps,DT10,DT610LP-LE-10-A,39.0,39.0,3.2,0,
BDF610DEHAAK,Dumps,DT10,DT610LP-LE-10-A,39.0,39.0,3.2,0,
BDF610DEHCA,Dumps,DT10,DT610LP-LE-10-A,39.0,39.0,3.2,0,
BDF610DEHVAN,Dumps,DT10,DT610LP-LE-10-H,62.0,62.0,5.2,0,
BDF610DEHZAN,Dumps,DT10,DT610LP-LE-10-H,62.0,62.0,5.2,0,
BDF610NEKAAK,Dumps,DT10,DT610LP-LE-10-S,39.0,39.0,3.2,0,
BDF610NEKCAK,Dumps,DT10,DT610LP-LE-10-S,39.0,39.0,3.2,0,
BDF612CEHA6K8,Dumps,DT10,DT612LP-LE-10-A,39.0,39.0,3.2,0,
BDF612CEHAA,Dumps,DT10,DT612LP-LE-10-A,39.0,39.0,3.2,0,
BDF612CEHAAK,Dumps,DT10,DT612LP-LE-10-A,39.0,39.0,3.2,0,
BDF612CEHBA,Dumps,DT10,DT612LP-LE-10-B,39.0,39.0,3.2,0,
BDF612CEHCA,Dumps,DT10,DT612LP-LE-10-C,39.0,39.0,3.2,0,
BDF612CEHDA,Dumps,DT10,DT612LP-LE-10-D,39.0,39.0,3.2,0,
BDF612CEHVAN,Dumps,DT10,DT612LP-LE-10-H,62.0,62.0,5.2,0,
BDF612CEHZAN,Dumps,DT10,DT612LP-LE-10-H,62.0,62.0,5.2,0,
BDF612DEHAA,Dumps,DT10,DT612LP-LE-10-A,39.0,39.0,3.2,0,
BDF612DEHBA,Dumps,DT10,DT612LP-LE-10-B,39.0,39.0,3.2,0,
BDF612DEHCA,Dumps,DT10,DT612LP-LE-10-C,39.0,39.0,3.2,0,
BDF612DEHVAN,Dumps,DT10,DT612LP-LE-10-H,62.0,62.0,5.2,0,
BDF612DEHZAN,Dumps,DT10,DT612LP-LE-10-H,62.0,62.0,5.2,0,
BDF612DGJAP,Dumps,DT12,DT612LP-LE-12-A,39.0,39.0,3.2,0,
BDF612FEHDA,Dumps,DT10,DT612LP-LE-10-D,39.0,39.0,3.2,0,
BDF612FGJAP,Dumps,DT12,DT612LP-LE-12-A,39.0,39.0,3.2,0,
BDF712CEOAA,Dumps,DT10,DT712LP-LE-10-A,40.0,40.0,3.3,0,
BDF712CEOBA,Dumps,DT10,DT712LP-LE-10-A,40.0,40.0,3.3,0,
BDF712CEODA,Dumps,DT10,DT712LP-LE-10-D,40.0,40.0,3.3,0,
BDF712DEOAA,Dumps,DT10,DT712LP-LE-10-A,40.0,40.0,3.3,0,
BDF712DEOVAN,Dumps,DT10,DT712LP-LE-10-H,64.0,64.0,5.3,0,
BDF712DGAAP,Dumps,DT12,DT712LP-LE-12-A,40.0,40.0,3.3,0,
BDF712DGAAPK,Dumps,DT12,DT712LP-LE-12-A,40.0,40.0,3.3,0,
BDF712DGAVPN,Dumps,DT12,DT712LP-LE-12-H,64.0,64.0,5.3,0,
BDF712DIHAP,Dumps,DT14,DT712LP-LE-14-A,40.0,40.0,3.3,0,
BDF712DIHAP%,Dumps,DT14,DT712LP-LE-14-A,40.0,40.0,3.3,0,
BDF712DIHAP7%,Dumps,DT14,DT712LP-LE-14-A,40.0,40.0,3.3,0,
BDF712DIHVPN,Dumps,DT14,DT712LP-LE-14-H,64.0,64.0,5.3,0,
BDF712DIHVPN%,Dumps,DT14,DT712LP-LE-14-H,64.0,64.0,5.3,0,
BDF714DIHAIK,Dumps,DT14,DT714LP-LE-14-A,40.0,40.0,3.3,0,
