plant,bin,item_pattern,sku,created_at
*,*,6X10CGCM7K,CARGO | 10 ft,2026-01-22T21:38:23
*,*,6X12CGR-5K,CARGO | 12 ft,2026-01-22T21:38:25
*,*,6X14CGRBN-7K,CARGO | 14 ft,2026-01-22T21:38:27
*,*,7X12CG-3K,CARGO | 12 ft,2026-01-22T21:38:28
*,*,7X14CG-10K,7X14CH1BRK / 2BRK,2026-01-22T21:38:28
*,*,7X14CTD10K,7X14CH1BRK / 2BRK,2026-01-22T21:38:29
*,*,7X14CTD14K-SILVER,7X14CH1BRK / 2BRK,2026-01-22T21:38:29
*,*,7X16CGR-12K,CARGO | 16 ft,2026-01-22T21:38:29
*,*,7X16CTD10K,7X16CH1BRK/2BRK,2026-01-22T21:38:30
*,*,7X20GW2BRK-10K,7X20GW1BRK/2BRK,2026-01-22T21:38:31
*,*,8.5X16CGCM-14K,CARGO | 16 ft,2026-01-22T21:38:31
*,*,8.5X16CGR-14K,CARGO | 16 ft,2026-01-22T21:38:31
*,*,8.5X16CTD14K,CARGO | 16 ft,2026-01-22T21:38:31
*,*,8.5X18CGRCM-7K,CARGO | 18 ft,2026-01-22T21:38:31
*,*,8.5X20CGRCM-14K,CARGO | 20 ft,2026-01-22T21:38:32
*,*,8.5X20CTD14K,8.5X20CHFTSR10K,2026-01-22T21:38:32
*,*,8.5X20CTD14K-BLK,8.5X20CHFTSR10K,2026-01-22T21:38:32
*,*,8.5X20CTD14K-SF,8.5X20CHFTSR10K,2026-01-22T21:38:32
*,*,8.5X24CGR-14K,CARGO | 24 ft,2026-01-22T21:38:32
*,*,8.5X24CGRCM-14K,CARGO | 24 ft,2026-01-22T21:38:33
*,*,8.5X24CTD14K,8.5X24DODT12K/14K,2026-01-22T21:38:33
*,*,8.5X24CTS14K,8.5X24DODT12K/14K,2026-01-22T21:38:33
*,*,Z7X20APFTFR2BRK,7X20APFTSR1BRK/2BRK,2026-01-22T21:38:33
*,CARGO,4X6CG,CARGO | 6 ft,2026-01-22T21:38:20
*,CARGO,4X6CGVEC-13,CARGO | 6 ft,2026-01-22T21:38:20
*,CARGO,4X6CTS2K,CARGO | 6 ft,2026-01-22T21:38:20
*,CARGO,5X10CG,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X10CGEC,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X10CGR,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X10CGRBN,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X10CGRCM,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X10CGREC,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X10CTD3K,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X10CTD3K-BLACK,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X10CTD3K-CHARCOAL,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X10CTD3K-SILVER,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X10CTS3K,CARGO | 10 ft,2026-01-22T21:38:21
*,CARGO,5X8CG,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CGCM,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CGEC,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CGR,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CGRCM,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CGRCM11,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CGREC,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CTD3K,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CTD3K-BLACK,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CTD3K-SILVER,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CTS3K,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8CTS3K-BLACK,CARGO | 8 ft,2026-01-22T21:38:22
*,CARGO,5X8LCGECBN,CARGO | 8 ft,2026-01-22T21:38:23
