item_number,model,pj_category,description,gvwr,bed_length_stated,bed_length_measured,tongue_group,tongue_feet,total_footprint,dump_side_height_ft,can_nest_inside_dump,gn_axle_droppable,tongue_overlap_allowed,pairing_rule,notes,updated_at
B5J1652BSSK,B5,car_hauler,16’x5” Channel Buggy Hauler,,16.0,17.0,c_channel,4.5,21.5,,0,0,0,,,2026-04-02T15:06:07.774608
B5J1852BSSK,B5,car_hauler,18’x5” Channel Buggy Hauler,,18.0,19.0,c_channel,4.5,23.5,,0,0,0,,,2026-04-02T15:06:07.774643
B5J2052BSSK,B5,car_hauler,20’x5” Channel Buggy Hauler,,20.0,21.0,c_channel,4.5,25.5,,0,0,0,,,2026-04-02T15:06:07.774665
B5J2252BSSK,B5,car_hauler,22’x5” Channel Buggy Hauler,,22.0,23.0,c_channel,4.5,27.5,,0,0,0,,,2026-04-02T15:06:07.774686
B6J2072BSSK,B6,car_hauler,20’x6” Channel Super-Wide,,20.0,21.0,c_channel,4.5,25.5,,0,0,0,,,2026-04-02T15:06:07.877638
B6J2272BSSK,B6,car_hauler,22’x6” Channel Super-Wide,,22.0,23.0,c_channel,4.5,27.5,,0,0,0,,,2026-04-02T15:06:07.877671
B6J2472BSSK,B6,car_hauler,24’x6” Channel Super-Wide,,24.0,25.0,c_channel,4.5,29.5,,0,0,0,,,2026-04-02T15:06:07.877700
B8J2472BSSK,B8,car_hauler,24’x8” Channel Super-Wide,,24.0,25.0,c_channel,4.5,29.5,,0,0,0,,,2026-04-02T15:06:08.058733
B8J2672BSSK,B8,car_hauler,26’x8” Channel Super-Wide,,26.0,27.0,c_channel,4.5,31.5,,0,0,0,,,2026-04-02T15:06:08.058770
B8J2872BSSK,B8,car_hauler,28’x8” Channel Super-Wide,,28.0,29.0,c_channel,4.5,33.5,,0,0,0,,,2026-04-02T15:06:08.058796
B8J3072BSSK,B8,car_hauler,30’x8” Channel Super-Wide,,30.0,31.0,c_channel,4.5,35.5,,0,0,0,,,2026-04-02T15:06:08.058820
B8J3272BSSK,B8,car_hauler,32’x8” Channel Super-Wide,,32.0,33.0,c_channel,4.5,37.5,,0,0,0,,,2026-04-02T15:06:08.058850
B8J3472BSSK,B8,car_hauler,34’x8” Channel Super-Wide,,34.0,35.0,c_channel,4.5,39.5,,0,0,0,,,2026-04-02T15:06:08.058875
B8J3672BSSK,B8,car_hauler,36’x8” Channel Super-Wide,,36.0,37.0,c_channel,4.5,41.5,,0,0,0,,,2026-04-02T15:06:08.058898
B8J3872BSSK,B8,car_hauler,38’x8” Channel Super-Wide,,38.0,39.0,c_channel,4.5,43.5,,0,0,0,,,2026-04-02T15:06:08.058921
B8J4072BSSK,B8,car_hauler,40’x8” Channel Super-Wide,,40.0,41.0,c_channel,4.5,45.5,,0,0,0,,,2026-04-02T15:06:08.058948
C421432CSSK,C4,car_hauler,14’x4” Channel Carhauler,,14.0,15.0,c_channel,4.5,19.5,,0,0,0,,,2026-04-02T15:06:06.361804
C421632CSSK,C4,car_hauler,16’x4” Channel Carhauler,,16.0,17.0,c_channel,4.5,21.5,,0,0,0,,,2026-04-02T15:06:06.361843
C421832CSSK,C4,car_hauler,18’x4” Channel Carhauler,,18.0,19.0,c_channel,4.5,23.5,,0,0,0,,,2026-04-02T15:06:06.361867
C422032CSSK,C4,car_hauler,20’x4” Channel Carhauler,,20.0,21.0,c_channel,4.5,25.5,,0,0,0,,,2026-04-02T15:06:06.361891
C521632CSSK,C5,car_hauler,16’x5” Channel Carhauler,,16.0,17.0,c_channel,4.5,21.5,,0,0,0,,,2026-04-02T15:06:06.461510
C521832CSSK,C5,car_hauler,18’x5” Channel Carhauler,,18.0,19.0,c_channel,4.5,23.5,,0,0,0,,,2026-04-02T15:06:06.461547
C522032CSSK,C5,car_hauler,20’x5” Channel Carhauler,,20.0,21.0,c_channel,4.5,25.5,,0,0,0,,,2026-04-02T15:06:06.461570
C522232CSSK,C5,car_hauler,22’x5” Channel Carhauler,,22.0,23.0,c_channel,4.5,27.5,,0,0,0,,,2026-04-02T15:06:06.461591
C8J2082BSSK,C8,car_hauler,20’x8” Channel Equipment,,20.0,21.0,c_channel,4.5,25.5,,0,0,0,,,2026-04-02T15:06:07.380017
C8J2282BSSK,C8,car_hauler,22’x8” Channel Equipment,,22.0,23.0,c_channel,4.5,27.5,,0,0,0,,,2026-04-02T15:06:07.380079
C8J2482BSSK,C8,car_hauler,24’x8” Channel Equipment,,24.0,25.0,c_channel,4.5,29.5,,0,0,0,,,2026-04-02T15:06:07.380137
C8J2682BSSK,C8,car_hauler,26’x8” Channel Equipment,,26.0,27.0,c_channel,4.5,31.5,,0,0,0,,,2026-04-02T15:06:07.380162
C8J2882BSSK,C8,car_hauler,28’x8” Channel Equipment,,28.0,29.0,c_channel,4.5,33.5,,0,0,0,,,2026-04-02T15:06:07.380185
C8J3082BSSK,C8,car_hauler,30’x8” Channel Equipment,,30.0,31.0,c_channel,4.5,35.5,,0,0,0,,,2026-04-02T15:06:07.380208
C8J3282BSSK,C8,car_hauler,32’x8” Channel Equipment,,32.0,33.0,c_channel,4.5,37.5,,0,0,0,,,2026-04-02T15:06:07.380229
C8J3482BSSK,C8,car_hauler,34’x8” Channel Equipment,,34.0,35.0,c_channel,4.5,39.5,,0,0,0,,,2026-04-02T15:06:07.380254
C8J3682BSSK,C8,car_hauler,36’x8” Channel Equipment,,36.0,37.0,c_channel,4.5,41.5,,0,0,0,,,2026-04-02T15:06:07.380284
C8J3882BSSK,C8,car_hauler,38’x8” Channel Equipment,,38.0,39.0,c_channel,4.5,43.5,,0,0,0,,,2026-04-02T15:06:07.380304
C8J4082BSSK,C8,car_hauler,40’x8” Channel Equipment,,40.0,41.0,c_channel,4.5,45.5,,0,0,0,,,2026-04-02T15:06:07.380324
CCJ1672BSSK,CC,car_hauler,16’x6” Channel Equipment,,16.0,17.0,c_channel,4.5,21.5,,0,0,0,,,2026-04-02T15:06:07.021406
CCJ1872BSSK,CC,car_hauler,18’x6” Channel Equipment,,18.0,19.0,c_channel,4.5,23.5,,0,0,0,,,2026-04-02T15:06:07.021438
CCJ2072BSSK,CC,car_hauler,20’x6” Channel Equipment,,20.0,21.0,c_channel,4.5,25.5,,0,0,0,,,2026-04-02T15:06:07.021458
CCJ2272BSSK,CC,car_hauler,22’x6” Channel Equipment,,22.0,23.0,c_channel,4.5,27.5,,0,0,0,,,2026-04-02T15:06:07.021479
CCJ2472BSSK,CC,car_hauler,24’x6” Channel Equipment,,24.0,25.0,c_channel,4.5,29.5,,0,0,0,,,2026-04-02T15:06:07.021498
CDC1872BSUK,CD,car_hauler,"6"" Channel Equipment",,18.0,19.0,c_channel,4.5,23.5,,0,0,0,,,2026-04-02T15:06:06.880407
CDC2072BSUK,CD,car_hauler,"6"" Channel Equipment",,20.0,21.0,c_channel,4.5,25.5,,0,0,0,,,2026-04-02T15:06:06.880476
CDC2272BSUK,CD,car_hauler,"6"" Channel Equipment",,22.0,23.0,c_channel,4.5,27.5,,0,0,0,,,2026-04-02T15:06:06.880514
CEJ1652BSSK,CE,car_hauler,16’x5” Channel Equipment,,16.0,17.0,c_channel,4.5,21.5,,0,0,0,,,2026-04-02T15:06:06.591285
CEJ1852BSSK,CE,car_hauler,18’x5” Channel Equipment,,18.0,19.0,c_channel,4.5,23.5,,0,0,0,,,2026-04-02T15:06:06.591319
CEJ2052BSSK,CE,car_hauler,20’x5” Channel Equipment,,20.0,21.0,c_channel,4.5,25.5,,0,0,0,,,2026-04-02T15:06:06.591344
CEJ2252BSSK,CE,car_hauler,22’x5” Channel Equipment,,22.0,23.0,c_channel,4.5,27.5,,0,0,0,,,2026-04-02T15:06:06.591369
CHJ1832CSPK,CH,car_hauler,18' Steel Deck Car Hauler,,18.0,19.0,c_channel,4.5,23.5,,0,0,0,,,2026-04-02T15:06:06.732623
CHJ2032CSPK,CH,car_hauler,20' Steel Deck Car Hauler,,20.0,21.0,c_channel,4.5,25.5,,0,0,0,,,2026-04-02T15:06:06.732658
CHJ2232CSPK,CH,car_hauler,22' Steel Deck Car Hauler,,22.0,23.0,c_channel,4.5,27.5,,0,0,0,,,2026-04-02T15:06:06.732682
D3J1052BSSK,D3,dump_variants,10’x72” Tandem Axle Dump,,10.0,11.5,dump_std,6.0,17.5,,0,0,0,,,2026-04-02T15:06:09.677185
D3J1252BSSK,D3,dump_variants,12’x72” Tandem Axle Dump,,12.0,13.5,dump_std,6.0,19.5,,0,0,0,,,2026-04-02T15:06:09.677221
D520851BSSK,D5,dump_small,08’x60” Utility Dump,,8.0,9.5,dump_small,5.0,14.5,,0,0,0,,,2026-04-02T15:06:09.582615
D521051BSSK,D5,dump_small,10’x60” Utility Dump,,10.0,11.5,dump_small,5.0,16.5,,0,0,0,,,2026-04-02T15:06:09.582651
D7C1472BSSK,D7,dump_small,"14'x83"" Channel Dump",,14.0,15.5,dump_small,5.0,20.5,,0,0,0,,,2026-04-02T15:06:09.825091
D8J1472BSSK,D8,dump_variants,14’x96” Deckover Dump,,14.0,15.5,dump_std,6.0,21.5,,0,0,0,,,2026-04-02T15:06:10.757178
