origin_plant,destination_state,rate_per_mile,effective_year,notes,created_at
GA,AL,3.25,2026,,2026-01-22T21:38:33
GA,AR,2.57,2026,,2026-01-22T21:38:34
GA,AZ,2.16,2026,,2026-01-22T21:38:34
GA,CA,2.15,2026,,2026-01-22T21:38:34
GA,CO,2.5,2026,,2026-01-22T21:38:35
GA,CT,2.73,2026,,2026-01-22T21:38:35
GA,DC,3.1,2026,,2026-01-22T21:38:35
GA,DE,3.12,2026,,2026-01-22T21:38:36
GA,DETENTION,0.0,2026,,2026-01-22T21:38:51
GA,FL,3.5,2026,,2026-01-22T21:38:36
GA,GA,3.3,2026,,2026-01-22T21:38:36
GA,IA,2.54,2026,,2026-01-22T21:38:36
GA,ID,2.55,2026,,2026-01-22T21:38:36
GA,IL,2.49,2026,,2026-01-22T21:38:36
GA,IN,3.4,2026,,2026-01-22T21:38:37
GA,KS,2.65,2026,,2026-01-22T21:38:37
GA,KY,3.5,2026,,2026-01-22T21:38:38
GA,LA,2.25,2026,,2026-01-22T21:38:38
GA,MA,3.07,2026,,2026-01-22T21:38:38
GA,MD,2.82,2026,,2026-01-22T21:38:38
GA,ME,2.9,2026,,2026-01-22T21:38:38
GA,MI,3.0,2026,,2026-01-22T21:38:38
GA,MIN,0.0,2026,,2026-01-22T21:38:51
GA,MN,2.35,2026,,2026-01-22T21:38:39
GA,MO,2.35,2026,,2026-01-22T21:38:39
GA,MS,2.6,2026,,2026-01-22T21:38:39
GA,MT,2.19,2026,,2026-01-22T21:38:40
GA,NC,3.85,2026,,2026-01-22T21:38:40
GA,ND,2.87,2026,,2026-01-22T21:38:40
GA,NE,2.65,2026,,2026-01-22T21:38:40
GA,NH,2.85,2026,,2026-01-22T21:38:41
GA,NJ,2.95,2026,,2026-01-22T21:38:41
GA,NM,2.6,2026,,2026-01-22T21:38:42
GA,NV,2.25,2026,,2026-01-22T21:38:42
GA,NY,2.58,2026,,2026-01-22T21:38:42
GA,NY ZIP 100,450.0,2026,,2026-01-22T21:38:51
GA,OH,3.0,2026,,2026-01-22T21:38:42
GA,OK,2.35,2026,,2026-01-22T21:38:42
GA,OR,2.1,2026,,2026-01-22T21:38:43
GA,PA,3.0,2026,,2026-01-22T21:38:43
GA,RI,2.75,2026,,2026-01-22T21:38:44
GA,SC,3.45,2026,,2026-01-22T21:38:44
GA,SD,2.55,2026,,2026-01-22T21:38:45
GA,STOP,55.0,2026,,2026-01-22T21:38:51
GA,TN,2.75,2026,,2026-01-22T21:38:47
GA,TONU,350.0,2026,,2026-01-22T21:38:51
GA,TX,2.3,2026,,2026-01-22T21:38:47
GA,UT,2.35,2026,,2026-01-22T21:38:48
GA,VA,3.35,2026,,2026-01-22T21:38:48
GA,VT,2.85,2026,,2026-01-22T21:38:48
GA,WA,2.19,2026,,2026-01-22T21:38:48
GA,WI,2.8,2026,,2026-01-22T21:38:49
GA,WV,3.2,2026,,2026-01-22T21:38:50
GA,WY,2.5,2026,,2026-01-22T21:38:50
IA,AL,3.25,2026,,2026-01-22T21:38:33
IA,AR,2.4,2026,,2026-01-22T21:38:34
IA,AZ,2.44,2026,,2026-01-22T21:38:34
IA,CA,2.6,2026,,2026-01-22T21:38:34
IA,CO,3.48,2026,,2026-01-22T21:38:35
IA,CT,2.35,2026,,2026-01-22T21:38:35
IA,DC,2.65,2026,,2026-01-22T21:38:35
IA,DE,2.49,2026,,2026-01-22T21:38:36
IA,DETENTION,0.0,2026,,2026-01-22T21:38:51
IA,FL,2.22,2026,,2026-01-22T21:38:36
IA,GA,2.3,2026,,2026-01-22T21:38:36
IA,IA,3.75,2026,,2026-01-22T21:38:36
IA,ID,2.61,2026,,2026-01-22T21:38:36
IA,IL,2.7,2026,,2026-01-22T21:38:37
IA,IN,2.15,2026,,2026-01-22T21:38:37
IA,KS,3.2,2026,,2026-01-22T21:38:37
IA,KY,2.2,2026,,2026-01-22T21:38:38
IA,LA,2.05,2026,,2026-01-22T21:38:38
IA,MA,2.35,2026,,2026-01-22T21:38:38
IA,MD,2.35,2026,,2026-01-22T21:38:38
IA,ME,2.4,2026,,2026-01-22T21:38:38
IA,MI,2.2,2026,,2026-01-22T21:38:39
IA,MIN,850.0,2026,,2026-01-22T21:38:51
IA,MN,3.2,2026,,2026-01-22T21:38:39
IA,MO,2.75,2026,,2026-01-22T21:38:39
IA,MS,2.25,2026,,2026-01-22T21:38:39
IA,MT,3.1,2026,,2026-01-22T21:38:40
IA,NC,2.18,2026,,2026-01-22T21:38:40
IA,ND,3.26,2026,,2026-01-22T21:38:40
IA,NE,3.3,2026,,2026-01-22T21:38:40
IA,NH,2.55,2026,,2026-01-22T21:38:41
IA,NJ,2.5,2026,,2026-01-22T21:38:41
IA,NM,3.08,2026,,2026-01-22T21:38:42
IA,NV,2.53,2026,,2026-01-22T21:38:42
IA,NY,2.4,2026,,2026-01-22T21:38:42
IA,NY ZIP 100,450.0,2026,,2026-01-22T21:38:51
IA,OH,2.17,2026,,2026-01-22T21:38:42
IA,OK,2.51,2026,,2026-01-22T21:38:43
IA,OR,2.56,2026,,2026-01-22T21:38:43
IA,PA,2.27,2026,,2026-01-22T21:38:43
IA,RI,2.31,2026,,2026-01-22T21:38:44
IA,SC,2.49,2026,,2026-01-22T21:38:44
IA,SD,3.5,2026,,2026-01-22T21:38:45
IA,STOP,55.0,2026,,2026-01-22T21:38:51
IA,TN,2.45,2026,,2026-01-22T21:38:47
IA,TONU,350.0,2026,,2026-01-22T21:38:51
IA,TX,2.36,2026,,2026-01-22T21:38:48
IA,UT,2.45,2026,,2026-01-22T21:38:48
IA,VA,2.65,2026,,2026-01-22T21:38:48
IA,VT,2.35,2026,,2026-01-22T21:38:48
IA,WA,2.56,2026,,2026-01-22T21:38:49
IA,WI,2.22,2026,,2026-01-22T21:38:50
IA,WV,2.39,2026,,2026-01-22T21:38:50
IA,WY,3.05,2026,,2026-01-22T21:38:50
