sku,description,category,length_with_tongue_ft,max_stack_step_deck,max_stack_flat_bed,notes,added_at,created_at,source
3.5X5LSHS,,USA,7.0,4,4,,,2026-01-22T21:36:06,system
3X4GT,,GRILL,10.0,1,1,,,2026-01-22T21:36:06,system
3X4GT-KIT,,GRILL,10.0,1,1,,,2026-01-22T21:36:06,system
4X6G,,USA,7.0,6,5,,,2026-01-22T21:36:06,system
4X6GTTR,,USA,7.0,6,5,,,2026-01-22T21:36:06,system
4X6GW2K,,USA,7.0,6,5,,,2026-01-22T21:36:06,system
4X6T,,USA,7.0,6,5,,,2026-01-22T21:36:06,system
4X7F,,USA,7.0,6,5,,,2026-01-22T21:36:06,system
4X7G,,USA,7.0,6,5,,,2026-01-22T21:36:06,system
4X8G/NG/TTR,,USA,7.0,6,5,,,2026-01-22T21:36:06,system
4X8GW2K,,USA,12.0,6,5,,,2026-01-22T21:36:06,system
4X8M,,USA,7.0,6,5,,,2026-01-22T21:36:06,system
4X8WOODY,,USA,7.0,4,4,,,2026-01-22T21:36:06,system
5.5X10AGW,,USA-AL,14.0,5,4,,,2026-01-22T21:36:06,system
5.5X10GPR,,USA,14.0,5,4,,,2026-01-22T21:36:06,system
5.5X10GWHDP,,USA,14.0,4,4,,,2026-01-22T21:36:06,system
5.5X10GWPR,,USA,14.0,4,4,,,2026-01-22T21:36:06,system
5.5X10GWPTLED/NT,,USA,14.0,5,4,,,2026-01-22T21:36:06,system
5.5X10SSGPTLED,,USA,14.0,4,3,,,2026-01-22T21:36:06,system
5.5X12GWPTLED,,USA,16.0,5,4,,,2026-01-22T21:36:06,system
5.5X12SSGPTLED,,USA,16.0,4,3,,,2026-01-22T21:36:06,system
5.5X8GW2KPT,,USA,12.0,6,5,,,2026-01-22T21:36:06,system
5.5X8GWPTLED,,USA,12.0,6,5,,,2026-01-22T21:36:06,system
5.5X8SSGPTLED,,USA,12.0,4,3,,,2026-01-22T21:36:06,system
5.5X9GPR,,USA,13.0,5,4,,,2026-01-22T21:36:06,system
5X10CGR,5X10CGR-ENCLOSED CARGO,ECOM,14.0,1,1,,2026-02-27T18:28:14,2026-02-27T18:28:14,planner
