order_id,so_num,order_due_date,order_created_date,order_ship_date,plant,customer,cust_name,address1,address2,city,state,zip,total_qty,total_sales,order_total_length_ft,order_utilization_pct,order_utilization_grade,order_utilization_credit_ft,order_exceeds_capacity,line_count,order_is_excluded,needs_review,order_status,last_seen_at,closed_at,last_upload_id,order_line_id,line_due_date,item,item_desc,line_qty,line_sales,bin,load_num,sku,unit_length_ft,line_total_length_ft,line_max_stack_height,stack_position,line_utilization_pct,line_is_excluded,sku_category,sku_length_with_tongue_ft,sku_max_stack_step_deck,sku_max_stack_flat_bed,assigned_load_ids,assigned_load_statuses,assigned_session_statuses,line_has_blocking_assignment,window_start_date,window_end_date,days_until_due,normalized_zip,origin_plant_lat,origin_plant_lng,dest_lat,dest_lng,origin_to_dest_miles_haversine,ia_state_rate_per_mile,standalone_estimated_cost_single_stop,requires_return_to_origin_lowes_rule,line_eligible_for_optimizer_now
2093,12536079,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,501 US HIGHWAY 10 SE,(320) 281-6620,ST. CLOUD,MN,56304,9,12839.99,37.0,61.9,C,32.8,0,6,0,0,OPEN,2026-02-12T22:59:23,,18,4497,2026-02-13,6X10AGW,6X10 ALUMINUM WOOD FLR TRLR,1,2410.2,USA,,6X10AGW,14.0,14.0,4,1,26.41509433962264,0,USA-AL,14.0,5,4,"488,586",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,56304,41.55944,-95.9025,45.52512,-94.05199,289.25,3.2,980.59,0,0
2093,12536079,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,501 US HIGHWAY 10 SE,(320) 281-6620,ST. CLOUD,MN,56304,9,12839.99,37.0,61.9,C,32.8,0,6,0,0,OPEN,2026-02-12T22:59:23,,18,4498,2026-02-13,6X12GWPTLED,6X12 WOOD FLR TRLR-LED-3K,2,3747.14,USA,,6X12GWPT,16.0,16.0,4,1,30.18867924528302,0,USA,16.0,5,4,"488,586",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,56304,41.55944,-95.9025,45.52512,-94.05199,289.25,3.2,980.59,0,0
2093,12536079,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,501 US HIGHWAY 10 SE,(320) 281-6620,ST. CLOUD,MN,56304,9,12839.99,37.0,61.9,C,32.8,0,6,0,0,OPEN,2026-02-12T22:59:23,,18,4897,2026-02-13,5.5X10GWPTLED,5.5X10  WOOD FLOOR TRAILER,1,1657.27,USA,,5.5X10GWPR,14.0,14.0,4,1,26.41509433962264,0,USA,14.0,4,4,"488,586",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,56304,41.55944,-95.9025,45.52512,-94.05199,289.25,3.2,980.59,0,0
2093,12536079,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,501 US HIGHWAY 10 SE,(320) 281-6620,ST. CLOUD,MN,56304,9,12839.99,37.0,61.9,C,32.8,0,6,0,0,OPEN,2026-02-12T22:59:23,,18,5086,2026-02-13,4X6T,4X6-MESH TILT TRAILER,2,1200.98,USA,,4X6T,7.0,7.0,5,1,13.20754716981132,0,USA,7.0,6,5,"488,586",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,56304,41.55944,-95.9025,45.52512,-94.05199,289.25,3.2,980.59,0,0
2093,12536079,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,501 US HIGHWAY 10 SE,(320) 281-6620,ST. CLOUD,MN,56304,9,12839.99,37.0,61.9,C,32.8,0,6,0,0,OPEN,2026-02-12T22:59:23,,18,5207,2026-02-13,5X8GW2K,5X8 GATE WOOD FLOOR TRAILER-2K,2,1817.96,USA,,5X8GW2K,7.0,7.0,5,1,13.20754716981132,0,USA,7.0,6,5,"488,586",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,56304,41.55944,-95.9025,45.52512,-94.05199,289.25,3.2,980.59,0,0
2093,12536079,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,501 US HIGHWAY 10 SE,(320) 281-6620,ST. CLOUD,MN,56304,9,12839.99,37.0,61.9,C,32.8,0,6,0,0,OPEN,2026-02-12T22:59:23,,18,6483,2026-02-13,6X12GWHS,6X12-WOOD FLOOR TRAILER-3K-HS,1,2006.44,USA,,6X12GWHS/LEO,16.0,16.0,3,1,30.18867924528302,0,USA,16.0,3,3,"488,586",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,56304,41.55944,-95.9025,45.52512,-94.05199,289.25,3.2,980.59,0,0
3168,12536080,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,1212 SOUTH INDUSTRY AVE,(605) 256-4545,MADISON,SD,57042,5,5037.73,21.0,29.1,F,15.4,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,7179,2026-02-13,4X6T,4X6-MESH TILT TRAILER,2,1200.98,USA,,4X6T,7.0,7.0,5,1,13.20754716981132,0,USA,7.0,6,5,"452,591",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,57042,41.55944,-95.9025,43.97744,-97.15133,178.68,3.5,800.0,0,0
3168,12536080,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,1212 SOUTH INDUSTRY AVE,(605) 256-4545,MADISON,SD,57042,5,5037.73,21.0,29.1,F,15.4,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,7350,2026-02-13,5.5X10GWPTLED,5.5X10  WOOD FLOOR TRAILER,1,1657.27,USA,,5.5X10GWPR,14.0,14.0,4,1,26.41509433962264,0,USA,14.0,4,4,"452,591",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,57042,41.55944,-95.9025,43.97744,-97.15133,178.68,3.5,800.0,0,0
3168,12536080,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,1212 SOUTH INDUSTRY AVE,(605) 256-4545,MADISON,SD,57042,5,5037.73,21.0,29.1,F,15.4,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,7351,2026-02-13,5X8SPWOODY,5X8SP MESH TRAILER,2,2179.48,USA,,5X8SPW,7.0,7.0,5,1,13.20754716981132,0,USA,7.0,6,5,"452,591",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,57042,41.55944,-95.9025,43.97744,-97.15133,178.68,3.5,800.0,0,0
2255,12536081,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,3709 E. 10TH ST.,(605)336-2494,SOUIX FALLS,SD,57103,5,7048.29,30.0,42.1,D,22.3,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,4822,2026-02-13,5X10GW2K,5X10 GATE WOOD FLOOR TRLR-2K,1,1126.82,USA,,5X10GW2K,14.0,14.0,5,1,26.41509433962264,0,USA,14.0,6,5,"426,591",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,57103,41.55944,-95.9025,43.538,-96.69241,142.5,3.5,800.0,0,0
2255,12536081,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,3709 E. 10TH ST.,(605)336-2494,SOUIX FALLS,SD,57103,5,7048.29,30.0,42.1,D,22.3,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,4977,2026-02-13,5.5X10GWPTLED,5.5X10  WOOD FLOOR TRAILER,2,3314.54,USA,,5.5X10GWPR,14.0,14.0,4,1,26.41509433962264,0,USA,14.0,4,4,"426,591",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,57103,41.55944,-95.9025,43.538,-96.69241,142.5,3.5,800.0,0,0
2255,12536081,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,3709 E. 10TH ST.,(605)336-2494,SOUIX FALLS,SD,57103,5,7048.29,30.0,42.1,D,22.3,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,5278,2026-02-13,4X6T,4X6-MESH TILT TRAILER,1,600.49,USA,,4X6T,7.0,7.0,5,1,13.20754716981132,0,USA,7.0,6,5,"426,591",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,57103,41.55944,-95.9025,43.538,-96.69241,142.5,3.5,800.0,0,0
2255,12536081,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,3709 E. 10TH ST.,(605)336-2494,SOUIX FALLS,SD,57103,5,7048.29,30.0,42.1,D,22.3,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,5740,2026-02-13,6X12GWHS,6X12-WOOD FLOOR TRAILER-3K-HS,1,2006.44,USA,,6X12GWHS/LEO,16.0,16.0,3,1,30.18867924528302,0,USA,16.0,3,3,"426,591",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,57103,41.55944,-95.9025,43.538,-96.69241,142.5,3.5,800.0,0,0
2533,12537322,2026-02-13,2025-09-11,2026-02-13,IA,RUNNINGS,RUNNINGS,1020 N. LACROSSE,(605)-342-9008,RAPID CITY,SD,57701,3,4971.81,14.0,19.8,F,10.5,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,5466,2026-02-13,5.5X10GWPTLED,5.5X10  WOOD FLOOR TRAILER,3,4971.81,USA,,5.5X10GWPR,14.0,14.0,4,1,26.41509433962264,0,USA,14.0,4,4,"460,555",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,0,57701,41.55944,-95.9025,44.1209,-103.20562,409.97,3.5,1489.89,0,0
4828,12600622,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #132,MATTOON RURAL KING SUPPLY #132,3404 Broadway Street,,Mt. Vernon,IL,62864,4,3689.25,13.0,20.8,F,11.0,0,2,0,0,OPEN,2026-02-12T22:59:23,,18,10498,2026-02-15,5.5X9UM2K,5.5X9 WOOD FLR 2K TRLR-13,1,1275.0,USA,,5.5X9GPR,13.0,13.0,4,1,24.528301886792452,0,USA,13.0,5,4,"546,630",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,2,62864,41.55944,-95.9025,38.33041,-88.90272,432.55,2.7,1222.88,0,0
4828,12600622,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #132,MATTOON RURAL KING SUPPLY #132,3404 Broadway Street,,Mt. Vernon,IL,62864,4,3689.25,13.0,20.8,F,11.0,0,2,0,0,OPEN,2026-02-12T22:59:23,,18,10499,2026-02-15,5X8GW2K,5X8 GATE WOOD FLOOR TRAILER-2K,3,2414.25,USA,,5X8GW2K,7.0,7.0,5,1,13.20754716981132,0,USA,7.0,6,5,"546,630",PROPOSED,"ARCHIVED,DRAFT",1,2026-02-13,2026-02-27,2,62864,41.55944,-95.9025,38.33041,-88.90272,432.55,2.7,1222.88,0,0
