order_id,so_num,order_due_date,order_created_date,order_ship_date,plant,customer,cust_name,address1,address2,city,state,zip,normalized_zip,dest_lat,dest_lng,origin_plant_lat,origin_plant_lng,origin_to_dest_miles_haversine,ia_state_rate_per_mile,standalone_estimated_cost_single_stop,requires_return_to_origin_lowes_rule,total_qty,total_sales,order_total_length_ft,order_utilization_pct,order_utilization_grade,order_utilization_credit_ft,order_exceeds_capacity,line_count,order_is_excluded,needs_review,order_status,last_seen_at,closed_at,last_upload_id,days_until_due,window_start_date,window_end_date,line_rows_in_export,order_has_blocking_line_assignment,order_has_any_excluded_line,order_has_any_eligible_line_now
2093,12536079,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,501 US HIGHWAY 10 SE,(320) 281-6620,ST. CLOUD,MN,56304,56304,45.52512,-94.05199,41.55944,-95.9025,289.25,3.2,980.59,0,9,12839.99,37.0,61.9,C,32.8,0,6,0,0,OPEN,2026-02-12T22:59:23,,18,0,2026-02-13,2026-02-27,6,1,0,0
3168,12536080,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,1212 SOUTH INDUSTRY AVE,(605) 256-4545,MADISON,SD,57042,57042,43.97744,-97.15133,41.55944,-95.9025,178.68,3.5,800.0,0,5,5037.73,21.0,29.1,F,15.4,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,0,2026-02-13,2026-02-27,3,1,0,0
2255,12536081,2026-02-13,2025-09-02,2026-02-13,IA,RUNNINGS,RUNNINGS,3709 E. 10TH ST.,(605)336-2494,SOUIX FALLS,SD,57103,57103,43.538,-96.69241,41.55944,-95.9025,142.5,3.5,800.0,0,5,7048.29,30.0,42.1,D,22.3,0,4,0,0,OPEN,2026-02-12T22:59:23,,18,0,2026-02-13,2026-02-27,4,1,0,0
2533,12537322,2026-02-13,2025-09-11,2026-02-13,IA,RUNNINGS,RUNNINGS,1020 N. LACROSSE,(605)-342-9008,RAPID CITY,SD,57701,57701,44.1209,-103.20562,41.55944,-95.9025,409.97,3.5,1489.89,0,3,4971.81,14.0,19.8,F,10.5,0,1,0,0,OPEN,2026-02-12T22:59:23,,18,0,2026-02-13,2026-02-27,1,1,0,0
4828,12600622,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #132,MATTOON RURAL KING SUPPLY #132,3404 Broadway Street,,Mt. Vernon,IL,62864,62864,38.33041,-88.90272,41.55944,-95.9025,432.55,2.7,1222.88,0,4,3689.25,13.0,20.8,F,11.0,0,2,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,2,1,0,0
5304,12600631,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #17,MATTOON RURAL KING SUPPLY #17,1702 W Main St,(618)-529-8618,Carbondale,IL,62901,62901,37.74003,-89.20946,41.55944,-95.9025,442.99,2.7,1251.08,0,3,4150.0,14.0,19.8,F,10.5,0,2,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,2,1,0,0
4918,12600656,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #01,MATTOON RURAL KING SUPPLY #01,700 Broadway Ave E Ste 15,SUITE 15,Mattoon,IL,61938,61938,39.48004,-88.37571,41.55944,-95.9025,420.48,2.7,1190.29,0,4,4484.5,14.0,23.8,F,12.6,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,3,1,0,0
6435,12600657,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #2,MATTOON RURAL KING SUPPLY #2,1103 N Main St,(217)-463-3250,Paris,IL,61944,61944,39.59969,-87.70146,41.55944,-95.9025,450.98,2.7,1272.64,0,3,3679.75,14.0,18.5,F,9.8,0,3,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,3,1,0,0
4912,12600658,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #3,MATTOON RURAL KING SUPPLY #3,1410 Veterans Ave,(618)-283-1216,Vandalia,IL,62471,62471,38.95859,-89.13257,41.55944,-95.9025,399.5,2.7,1133.65,0,3,2884.5,13.0,15.9,F,8.5,0,2,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,2,1,0,0
6324,12600659,2026-02-15,2026-01-12,2026-03-06,IA,MATTOON RURAL KING SUPPLY #4,MATTOON RURAL KING SUPPLY #4,1324 W Hudson Dr,(217)-324-6154,Litchfield,IL,62056,62056,39.1765,-89.67165,41.55944,-95.9025,366.9,2.7,1045.64,0,8,22740.1,53.0,86.5,A,45.9,1,6,0,0,OPEN,2026-02-12T22:59:23,,18,2,2026-02-13,2026-02-27,6,1,0,0
