order_number,lat,lng,order_utilization_pct
12536079,45.52512,-94.05199,61.9
12536080,43.97744,-97.15133,29.1
12536081,43.538,-96.69241,42.1
12537322,44.1209,-103.20562,19.8
12600622,38.33041,-88.90272,20.8
12600631,37.74003,-89.20946,19.8
12600656,39.48004,-88.37571,23.8
12600657,39.59969,-87.70146,18.5
12600658,38.95859,-89.13257,15.9
12600659,39.1765,-89.67165,86.5
12600660,39.11843,-88.56467,39.2
12600661,38.30906,-90.15132,29.1
12600665,39.50415,-88.16448,39.2
12600668,37.71442,-88.91463,29.1
12600684,39.81435,-88.93086,36.6
12600687,38.00487,-88.92249,29.1
12600688,37.7693,-89.35198,49.9
12600691,40.13693,-88.30453,39.2
12600692,38.79732,-90.85649,36.6
12600693,38.68214,-89.9815,79.6
12600694,37.7028,-88.52887,18.5
12600696,41.33158,-89.14281,51.1
12600701,41.67815,-88.53587,86.5
12545720,37.74003,-89.20946,13.2
12546586,39.92915,-91.34441,29.7
12546785,38.51187,-89.89922,32.8
12600393,39.73799,-90.22027,61.9
12600403,38.93988,-90.12829,32.8
12600407,39.77358,-89.68503,64.5
12602924,43.97251,-86.39792,10.6
12603016,48.14027,-101.32406,30.2
12603018,45.76773,-87.16522,30.2
12603019,40.95357,-98.41593,30.2
12603115,43.63492,-88.73828,7.9
12603201,42.66412,-88.28045,30.2
12603202,48.23522,-103.76747,30.2
12603210,41.11029,-87.90049,30.2
12603283,44.34414,-89.74054,7.9
12603287,44.24279,-88.35928,15.8
12603320,41.60362,-98.93841,30.2
12603464,45.1681,-93.25069,6.1
12601283,41.1502,-100.80319,32.3
12601284,44.74048,-92.71144,18.1
12601285,41.82908,-89.47764,28.9
12601286,40.59092,-98.36599,32.8
12601326,41.50717,-87.96088,22.5
12601332,45.86218,-89.82663,22.6
12601338,44.43651,-87.58069,28.2
12601344,45.11907,-92.52091,7.9
12601359,43.77846,-90.05161,23.6
12601362,45.49873,-92.64781,30.2
12601370,41.03828,-92.43252,36.6
12601373,43.1462,-88.73365,17.2
12601375,44.83318,-93.0334,29.1
12601387,43.6041,-96.70442,32.3
12601422,45.20879,-89.76743,22.1
12601423,48.53122,-93.13224,7.9
12601429,40.46678,-87.66134,23.6
12601430,42.40444,-87.85631,28.2
12601436,43.31697,-88.37356,10.6
12601441,45.51546,-91.10284,28.9
12601442,44.24279,-88.35928,30.2
12601443,40.71185,-89.53469,30.2
12601467,43.63492,-88.73828,29.1
12601468,44.41173,-88.7628,17.2
12601477,42.87436,-88.34077,18.1
12601489,41.7207,-93.56838,22.5
12601517,40.46099,-88.99981,22.1
12601521,42.12296,-88.2883,30.2
12601527,46.51493,-90.13264,37.7
12601530,42.40444,-87.85631,30.2
12601565,42.87436,-88.34077,7.9
12601583,43.99456,-88.96883,33.4
12601600,44.84218,-87.37677,30.6
12601605,42.92684,-89.21182,17.2
12601606,48.12021,-96.1994,22.5
12601610,42.26807,-88.13856,10.6
12601614,43.37504,-90.41637,23.8
12601616,42.4674,-88.09419,22.5
12601648,42.66412,-88.28045,7.9
12601656,42.91782,-97.44702,7.9
12601659,43.15389,-93.20006,30.6
12601662,44.24279,-88.35928,13.6
12601666,42.66412,-88.28045,28.2
12601673,45.65973,-89.34303,13.6
12601724,40.95357,-98.41593,37.3
12601726,45.08779,-93.72282,22.5
12601737,42.42333,-88.61104,28.9
12601784,48.41522,-97.40086,18.5
12601789,41.07959,-94.39224,22.1
12601791,42.84348,-96.98774,23.6
12601796,43.71343,-87.73725,23.8
12601808,46.54784,-90.85061,22.1
12601837,44.77894,-88.63567,40.6
12601851,45.9191,-88.01795,30.2
12601857,45.65973,-89.34303,30.2
12601860,41.11029,-87.90049,17.2
12601861,45.86711,-91.92266,23.8
12601867,44.89939,-87.92516,17.2
12601869,41.92759,-88.29906,28.9
12601879,40.36392,-95.85788,17.2
12601883,41.41737,-95.00352,17.2
12601888,40.36197,-96.22383,17.2
12601890,45.20879,-89.76743,30.2
12601895,40.54441,-89.62181,30.2
12601898,40.13186,-87.63256,59.2
12601906,40.71185,-89.53469,36.6
12601911,42.91782,-97.44702,33.4
12601928,45.33359,-93.5679,29.7
12602621,42.02696,-95.35915,37.7
12603422,43.99456,-88.96883,17.2
12603665,47.86938,-97.14013,6.1
12603863,41.55937,-95.91398,30.2
12602257,42.84025,-90.16982,105.7
12602694,42.8845,-88.12824,31.7
12604171,39.11179,-90.32004,10.4
12604178,48.12021,-96.1994,4.5
12604179,42.40853,-86.2168,4.5
12604180,45.12169,-87.23024,4.5
12604181,44.11981,-88.75127,4.5
12604182,45.03246,-93.80981,4.5
12604183,39.54853,-94.29525,4.5
12604186,46.64892,-96.43486,4.5
12604187,42.00437,-86.12138,4.5
12604190,44.99565,-93.58628,6.6
12604191,41.69749,-93.72021,6.6
12604192,41.72768,-93.63412,6.6
12604193,44.84971,-91.92994,6.6
12604198,42.84348,-96.98774,26.4
12604199,45.30943,-97.55533,6.6
12604202,43.71136,-98.04155,6.6
12604203,43.13573,-93.38815,6.6
12604205,43.18258,-89.45726,4.5
12604209,42.42434,-88.99346,4.5
12604210,44.47281,-93.17939,4.5
12604211,40.44216,-104.67809,4.5
12604212,38.13462,-92.66593,4.5
12604213,42.99525,-105.39874,6.6
12604214,42.84348,-96.98774,9.1
12604215,46.88145,-98.76883,4.5
12604216,41.71129,-93.03924,4.5
12604218,46.4828,-93.64356,4.5
12604221,44.3948,-98.20037,6.6
12604224,41.32838,-94.05606,6.6
12604227,44.99565,-93.58628,6.6
12604228,44.84971,-91.92994,6.6
12604229,41.72768,-93.63412,6.6
12604230,41.69749,-93.72021,6.6
12604236,45.12449,-88.15696,6.6
12604238,44.67791,-93.41237,6.6
12604240,39.37134,-94.36821,6.6
12604245,46.85639,-96.82234,6.6
12604253,42.63331,-85.29316,6.6
12604257,37.77363,-89.02003,6.6
12604262,42.86636,-85.89038,6.6
12604263,48.80929,-95.76035,6.6
12604266,38.82589,-102.4454,6.6
12604268,41.4642,-102.35349,6.6
12604269,39.39007,-94.56483,6.6
12604274,41.76277,-91.63142,6.6
12604276,42.59121,-82.83017,4.5
12604278,42.57858,-88.12999,4.5
12604279,42.66412,-88.28045,4.5
12604281,43.65112,-97.76483,4.5
12604285,45.07446,-92.84006,4.5
12604286,44.53459,-93.58209,4.5
12604287,43.04769,-91.06569,4.5
12604288,43.5319,-90.92134,4.5
12604292,41.38899,-99.62766,4.5
12604293,43.28987,-100.05772,4.5
12604294,44.05966,-93.22639,4.5
12604300,42.47751,-91.89721,9.1
12604301,44.93412,-97.09424,4.5
12604302,37.71051,-89.87919,4.5
12604303,43.18087,-101.70012,4.5
12604306,47.40975,-95.41597,4.5
12604307,38.46341,-86.30825,4.5
12604308,45.51546,-91.10284,4.5
12604312,45.09375,-83.50186,4.5
12604315,42.81851,-89.65181,4.5
12604318,48.80879,-95.34167,4.5
12604319,45.52723,-91.70977,4.5
12604320,43.44708,-88.6234,6.6
12604321,42.80282,-96.18092,4.5
12604326,45.10793,-91.48458,4.5
12604327,43.33233,-87.93299,6.6
12604330,44.39301,-91.3002,4.5
12604333,42.71275,-94.22645,4.5
12604334,43.61613,-96.96037,4.5
12604336,41.48195,-90.48895,4.5
12604337,41.45205,-97.39477,4.5
12604338,39.7287,-85.90435,4.5
12604340,43.50992,-88.54734,4.5
12604341,39.74205,-105.07123,4.5
12604345,46.93639,-97.16113,4.5
12604355,47.09744,-94.47416,4.5
